# Solar Reserve — History Export,24h,2026-05-05T23:13:41.878Z

# Current Input Snapshot (for reference)
entity_id,state,unit_of_measurement
sensor.ha_solar_reserve_overnight_load_tracker,0.0,kWh
sensor.ha_solar_reserve_average_overnight_load,12.74,kWh
sensor.ha_solar_reserve_daytime_load_tracker,0.0,kWh
sensor.ha_solar_reserve_average_daytime_load,12.75,kWh
sensor.ha_solar_reserve_calculated_surplus,21.91,kWh
sensor.ha_solar_reserve_energy_available,49.34,kWh
sensor.ha_solar_reserve_energy_required,27.43,kWh
sensor.ha_solar_reserve_solar_counted_today,44.38,kWh
sensor.ha_solar_reserve_current_battery_charge,4.96,kWh
sensor.ha_solar_reserve_night_data_days_collected,7,days
sensor.ha_solar_reserve_day_data_days_collected,7,days
sensor.ha_solar_reserve_battery_capacity,24.18,kWh
sensor.ha_solar_reserve_managed_load_usage,1.622,kWh
binary_sensor.ha_solar_reserve_permission,on,

# Current Permission Sensor Attributes
attribute,value
calculated_surplus_kwh,21.91
estimated_runtime_hours,7.3
dynamic_expected_load_kwh,25.01
tomorrow_deficit_kwh,0
avg_night_load_kwh,12.74
avg_day_load_kwh,12.75
raw_home_energy,1130.69
raw_managed_load,126.53076
raw_solar_today,44.3793
raw_solar_tomorrow,50.4322
raw_battery_percent,20.5
battery_sensor_type,percentage
is_night,false
dyn_rest_of_day_kwh,10.84
dyn_rest_of_night_kwh,12.74
dyn_morning_buffer_kwh,1.43
dyn_emergency_reserve_kwh,2.42
device_class,power
icon,mdi:sun-snowflake
friendly_name,HA Solar Reserve Permission

# Historical Data
timestamp,entity_id,display_name,state,unit_of_measurement
2026-05-04T23:14:36.715093+00:00,undefined,undefined,23.41,
2026-05-04T23:14:47.646362+00:00,undefined,undefined,23.42,
2026-05-04T23:15:00.164312+00:00,undefined,undefined,23.03,
2026-05-04T23:15:03.350774+00:00,undefined,undefined,23.04,
2026-05-04T23:15:08.438802+00:00,undefined,undefined,23.06,
2026-05-04T23:15:21.974161+00:00,undefined,undefined,23.04,
2026-05-04T23:15:24.465596+00:00,undefined,undefined,23.05,
2026-05-04T23:15:41.415676+00:00,undefined,undefined,23.06,
2026-05-04T23:15:46.419113+00:00,undefined,undefined,23.08,
2026-05-04T23:15:57.503960+00:00,undefined,undefined,23.09,
2026-05-04T23:16:15.487629+00:00,undefined,undefined,23.1,
2026-05-04T23:16:21.409524+00:00,undefined,undefined,23.13,
2026-05-04T23:16:21.909030+00:00,undefined,undefined,23.11,
2026-05-04T23:16:32.613767+00:00,undefined,undefined,23.12,
2026-05-04T23:16:53.398053+00:00,undefined,undefined,23.15,
2026-05-04T23:17:09.406507+00:00,undefined,undefined,23.16,
2026-05-04T23:17:21.906129+00:00,undefined,undefined,23.14,
2026-05-04T23:17:26.559195+00:00,undefined,undefined,23.17,
2026-05-04T23:17:43.480018+00:00,undefined,undefined,23.18,
2026-05-04T23:18:01.402968+00:00,undefined,undefined,23.22,
2026-05-04T23:18:16.446101+00:00,undefined,undefined,23.23,
2026-05-04T23:18:21.897299+00:00,undefined,undefined,23.2,
2026-05-04T23:18:34.438060+00:00,undefined,undefined,23.24,
2026-05-04T23:18:51.409661+00:00,undefined,undefined,23.25,
2026-05-04T23:19:06.606539+00:00,undefined,undefined,23.27,
2026-05-04T23:19:12.465009+00:00,undefined,undefined,23.28,
2026-05-04T23:19:21.877273+00:00,undefined,undefined,23.26,
2026-05-04T23:19:30.489800+00:00,undefined,undefined,23.27,
2026-05-04T23:19:36.551056+00:00,undefined,undefined,23.3,
2026-05-04T23:19:48.520092+00:00,undefined,undefined,23.31,
2026-05-04T23:20:00.155223+00:00,undefined,undefined,22.9,
2026-05-04T23:20:06.353428+00:00,undefined,undefined,22.93,
2026-05-04T23:20:21.871158+00:00,undefined,undefined,22.91,
2026-05-04T23:20:27.414301+00:00,undefined,undefined,22.92,
2026-05-04T23:20:32.662304+00:00,undefined,undefined,22.95,
2026-05-04T23:20:43.496694+00:00,undefined,undefined,22.96,
2026-05-04T23:21:00.578248+00:00,undefined,undefined,22.98,
2026-05-04T23:21:06.356793+00:00,undefined,undefined,22.99,
2026-05-04T23:21:21.864507+00:00,undefined,undefined,22.97,
2026-05-04T23:21:23.525002+00:00,undefined,undefined,22.98,
2026-05-04T23:21:29.477546+00:00,undefined,undefined,23.0,
2026-05-04T23:21:46.426667+00:00,undefined,undefined,23.01,
2026-05-04T23:21:57.636639+00:00,undefined,undefined,23.04,
2026-05-04T23:22:03.458859+00:00,undefined,undefined,23.05,
2026-05-04T23:22:20.526995+00:00,undefined,undefined,23.06,
2026-05-04T23:22:21.916094+00:00,undefined,undefined,23.03,
2026-05-04T23:22:26.427410+00:00,undefined,undefined,23.06,
2026-05-04T23:22:42.447981+00:00,undefined,undefined,23.07,
2026-05-04T23:22:59.452443+00:00,undefined,undefined,23.1,
2026-05-04T23:23:16.471670+00:00,undefined,undefined,23.11,
2026-05-04T23:23:21.958822+00:00,undefined,undefined,23.09,
2026-05-04T23:23:28.425753+00:00,undefined,undefined,23.12,
2026-05-04T23:23:38.490448+00:00,undefined,undefined,23.13,
2026-05-04T23:23:54.504961+00:00,undefined,undefined,23.16,
2026-05-04T23:24:19.070703+00:00,undefined,undefined,23.17,
2026-05-04T23:24:22.004333+00:00,undefined,undefined,23.15,
2026-05-04T23:24:24.710088+00:00,undefined,undefined,23.17,
2026-05-04T23:24:36.436221+00:00,undefined,undefined,23.18,
2026-05-04T23:24:53.525504+00:00,undefined,undefined,23.22,
2026-05-04T23:25:00.158926+00:00,undefined,undefined,22.8,
2026-05-04T23:25:12.012909+00:00,undefined,undefined,22.81,
2026-05-04T23:25:22.075341+00:00,undefined,undefined,22.79,
2026-05-04T23:25:22.421121+00:00,undefined,undefined,22.81,
2026-05-04T23:25:33.515819+00:00,undefined,undefined,22.82,
2026-05-04T23:25:50.401542+00:00,undefined,undefined,22.83,
2026-05-04T23:25:55.425837+00:00,undefined,undefined,22.85,
2026-05-04T23:26:07.791000+00:00,undefined,undefined,22.86,
2026-05-04T23:26:19.442703+00:00,undefined,undefined,22.87,
2026-05-04T23:26:22.046173+00:00,undefined,undefined,22.85,
2026-05-04T23:26:25.510323+00:00,undefined,undefined,22.87,
2026-05-04T23:26:37.379318+00:00,undefined,undefined,22.88,
2026-05-04T23:26:53.564293+00:00,undefined,undefined,22.91,
2026-05-04T23:26:59.375153+00:00,undefined,undefined,22.92,
2026-05-04T23:27:20.404556+00:00,undefined,undefined,22.94,
2026-05-04T23:27:21.183215+00:00,undefined,undefined,22.92,
2026-05-04T23:27:31.670332+00:00,undefined,undefined,22.93,
2026-05-04T23:27:42.423893+00:00,undefined,undefined,22.96,
2026-05-04T23:27:58.526577+00:00,undefined,undefined,22.98,
2026-05-04T23:28:21.931689+00:00,undefined,undefined,23.0,
2026-05-04T23:28:27.592250+00:00,undefined,undefined,23.01,
2026-05-04T23:28:39.557312+00:00,undefined,undefined,23.04,
2026-05-04T23:29:02.399739+00:00,undefined,undefined,23.06,
2026-05-04T23:29:17.442908+00:00,undefined,undefined,23.09,
2026-05-04T23:29:23.674180+00:00,undefined,undefined,23.1,
2026-05-04T23:29:40.330412+00:00,undefined,undefined,23.12,
2026-05-04T23:30:00.153981+00:00,undefined,undefined,22.69,
2026-05-04T23:30:00.736296+00:00,undefined,undefined,22.71,
2026-05-04T23:30:16.413829+00:00,undefined,undefined,22.74,
2026-05-04T23:30:27.434638+00:00,undefined,undefined,22.75,
2026-05-04T23:30:38.386997+00:00,undefined,undefined,22.77,
2026-05-04T23:30:55.390277+00:00,undefined,undefined,22.8,
2026-05-04T23:31:17.466488+00:00,undefined,undefined,22.82,
2026-05-04T23:31:23.393684+00:00,undefined,undefined,22.83,
2026-05-04T23:31:34.444345+00:00,undefined,undefined,22.85,
2026-05-04T23:31:56.353370+00:00,undefined,undefined,22.88,
2026-05-04T23:32:11.436525+00:00,undefined,undefined,22.9,
2026-05-04T23:32:29.443900+00:00,undefined,undefined,22.91,
2026-05-04T23:32:35.384563+00:00,undefined,undefined,22.94,
2026-05-04T23:32:52.408046+00:00,undefined,undefined,22.96,
2026-05-04T23:33:12.363801+00:00,undefined,undefined,22.98,
2026-05-04T23:33:17.466463+00:00,undefined,undefined,22.99,
2026-05-04T23:33:23.370276+00:00,undefined,undefined,23.0,
2026-05-04T23:33:34.365120+00:00,undefined,undefined,23.01,
2026-05-04T23:33:44.348655+00:00,undefined,undefined,23.02,
2026-05-04T23:33:49.344465+00:00,undefined,undefined,23.03,
2026-05-04T23:34:00.441016+00:00,undefined,undefined,23.04,
2026-05-04T23:34:06.444260+00:00,undefined,undefined,23.05,
2026-05-04T23:34:18.355412+00:00,undefined,undefined,23.06,
2026-05-04T23:34:28.419005+00:00,undefined,undefined,23.1,
2026-05-04T23:34:33.365094+00:00,undefined,undefined,23.11,
2026-05-04T23:34:43.318088+00:00,undefined,undefined,23.12,
2026-05-04T23:34:53.417326+00:00,undefined,undefined,23.13,
2026-05-04T23:35:00.152376+00:00,undefined,undefined,22.69,
2026-05-04T23:35:03.357470+00:00,undefined,undefined,22.7,
2026-05-04T23:35:08.324149+00:00,undefined,undefined,22.71,
2026-05-04T23:35:18.405598+00:00,undefined,undefined,22.72,
2026-05-04T23:35:21.520282+00:00,undefined,undefined,22.71,
2026-05-04T23:35:29.568359+00:00,undefined,undefined,22.72,
2026-05-04T23:35:35.505011+00:00,undefined,undefined,22.73,
2026-05-04T23:35:46.353982+00:00,undefined,undefined,22.74,
2026-05-04T23:35:51.385570+00:00,undefined,undefined,22.75,
2026-05-04T23:35:56.389972+00:00,undefined,undefined,22.78,
2026-05-04T23:36:01.848392+00:00,undefined,undefined,22.79,
2026-05-04T23:36:07.745248+00:00,undefined,undefined,22.8,
2026-05-04T23:36:18.409106+00:00,undefined,undefined,22.81,
2026-05-04T23:36:29.421484+00:00,undefined,undefined,22.82,
2026-05-04T23:36:35.340783+00:00,undefined,undefined,22.83,
2026-05-04T23:36:45.383358+00:00,undefined,undefined,22.84,
2026-05-04T23:36:56.334766+00:00,undefined,undefined,22.85,
2026-05-04T23:37:01.349100+00:00,undefined,undefined,22.86,
2026-05-04T23:37:12.361567+00:00,undefined,undefined,22.87,
2026-05-04T23:37:23.465193+00:00,undefined,undefined,22.9,
2026-05-04T23:37:29.489895+00:00,undefined,undefined,22.91,
2026-05-04T23:37:35.326351+00:00,undefined,undefined,22.92,
2026-05-04T23:37:46.379815+00:00,undefined,undefined,22.93,
2026-05-04T23:37:57.356924+00:00,undefined,undefined,22.94,
2026-05-04T23:38:02.357683+00:00,undefined,undefined,22.95,
2026-05-04T23:38:13.405586+00:00,undefined,undefined,22.96,
2026-05-04T23:38:24.441988+00:00,undefined,undefined,22.97,
2026-05-04T23:38:30.406919+00:00,undefined,undefined,22.98,
2026-05-04T23:38:40.363365+00:00,undefined,undefined,22.99,
2026-05-04T23:38:45.348447+00:00,undefined,undefined,23.03,
2026-05-04T23:38:55.417335+00:00,undefined,undefined,23.04,
2026-05-04T23:39:10.297944+00:00,undefined,undefined,23.05,
2026-05-04T23:39:15.805606+00:00,undefined,undefined,23.07,
2026-05-04T23:39:32.438677+00:00,undefined,undefined,23.09,
2026-05-04T23:39:55.395720+00:00,undefined,undefined,23.12,
2026-05-04T23:40:00.159384+00:00,undefined,undefined,22.66,
2026-05-04T23:40:12.346793+00:00,undefined,undefined,22.7,
2026-05-04T23:40:29.440863+00:00,undefined,undefined,22.72,
2026-05-04T23:40:47.376711+00:00,undefined,undefined,22.75,
2026-05-04T23:41:09.427271+00:00,undefined,undefined,22.78,
2026-05-04T23:41:26.375822+00:00,undefined,undefined,22.8,
2026-05-04T23:41:41.450522+00:00,undefined,undefined,22.83,
2026-05-04T23:41:59.418232+00:00,undefined,undefined,22.85,
2026-05-04T23:42:20.330520+00:00,undefined,undefined,22.88,
2026-05-04T23:42:25.411399+00:00,undefined,undefined,22.89,
2026-05-04T23:42:36.501044+00:00,undefined,undefined,22.91,
2026-05-04T23:42:53.368978+00:00,undefined,undefined,22.93,
2026-05-04T23:43:16.347425+00:00,undefined,undefined,22.96,
2026-05-04T23:43:27.651939+00:00,undefined,undefined,22.97,
2026-05-04T23:43:33.509039+00:00,undefined,undefined,22.99,
2026-05-04T23:43:49.516337+00:00,undefined,undefined,23.02,
2026-05-04T23:44:06.349354+00:00,undefined,undefined,23.04,
2026-05-04T23:44:29.418011+00:00,undefined,undefined,23.06,
2026-05-04T23:44:34.459696+00:00,undefined,undefined,23.07,
2026-05-04T23:44:45.412161+00:00,undefined,undefined,23.1,
2026-05-04T23:45:00.152603+00:00,undefined,undefined,22.63,
2026-05-04T23:45:01.417097+00:00,undefined,undefined,22.65,
2026-05-04T23:45:23.711280+00:00,undefined,undefined,22.68,
2026-05-04T23:45:35.429483+00:00,undefined,undefined,22.7,
2026-05-04T23:45:41.338642+00:00,undefined,undefined,22.71,
2026-05-04T23:45:57.349295+00:00,undefined,undefined,22.74,
2026-05-04T23:46:12.361998+00:00,undefined,undefined,22.76,
2026-05-04T23:46:34.357476+00:00,undefined,undefined,22.78,
2026-05-04T23:46:50.494822+00:00,undefined,undefined,22.82,
2026-05-04T23:47:08.358384+00:00,undefined,undefined,22.84,
2026-05-04T23:47:23.311505+00:00,undefined,undefined,22.87,
2026-05-04T23:47:39.468930+00:00,undefined,undefined,22.89,
2026-05-04T23:47:55.416980+00:00,undefined,undefined,22.9,
